iter	Passed	Remaining
403	12744	18801
404	12766	18756
405	12790	18713
406	12809	18663
407	12829	18615
408	12850	18568
409	12871	18522
410	12892	18476
411	12912	18428
412	12934	18383
413	12959	18343
414	12977	18293
415	13005	18257
416	13026	18211
417	13049	18169
418	13072	18127
419	13098	18088
420	13122	18047
421	13141	17999
422	13167	17961
423	13203	17937
424	13229	17898
425	13256	17862
426	13308	17859
427	13336	17824
428	13369	17794
429	13401	17764
430	13423	17721
431	13443	17675
432	13470	17638
433	13493	17597
434	13521	17562
435	13544	17520
436	13571	17484
437	13594	17443
438	13623	17409
439	13646	17368
440	13671	17330
441	13700	17296
442	13726	17259
443	13753	17223
444	13776	17182
445	13804	17146
446	13827	17106
447	13854	17070
448	13874	17026
449	13900	16989
450	13928	16954
451	13949	16911
452	13971	16870
453	13992	16828
454	14016	16789
455	14037	16747
456	14062	16708
457	14093	16678
458	14117	16639
459	14142	16601
460	14167	16564
461	14193	16528
462	14216	16488
463	14243	16454
464	14262	16409
465	14283	16368
466	14304	16326
467	14323	16282
468	14343	16239
469	14360	16193
470	14379	16150
471	14400	16108
472	14423	16069
473	14447	16032
474	14467	15990
475	14488	15949
476	14508	15907
477	14527	15864
478	14550	15826
479	14574	15788
480	14598	15751
481	14613	15705
482	14637	15667
483	14658	15627
484	14682	15591
485	14702	15549
486	14724	15510
487	14748	15473
488	14766	15430
489	14785	15389
490	14805	15348
491	14825	15307
492	14847	15269
493	14869	15231
494	14889	15190
495	14908	15148
496	14930	15110
497	14957	15077
498	14976	15036
499	14999	14999
500	15019	14959
501	15041	14921
502	15066	14886
503	15081	14841
504	15097	14798
505	15113	14754
506	15130	14712
507	15151	14674
508	15171	14635
509	15189	14594
510	15211	14556
511	15230	14516
512	15251	14478
513	15272	14440
514	15299	14407
515	15323	14373
516	15341	14332
517	15363	14295
518	15379	14253
519	15397	14213
520	15409	14167
521	15430	14129
522	15453	14093
523	15475	14058
524	15501	14025
525	15522	13987
526	15543	13950
527	15563	13912
528	15588	13879
529	15609	13842
530	15633	13808
531	15660	13776
532	15681	13740
533	15701	13702
534	15720	13663
535	15737	13623
536	15757	13585
537	15781	13551
538	15803	13516
539	15826	13481
540	15850	13448
541	15873	13412
542	15896	13378
543	15916	13341
544	15935	13303
545	15956	13267
546	15975	13230
547	15993	13192
548	16014	13155
549	16033	13118
550	16054	13082
551	16075	13046
552	16098	13012
553	16117	12975
554	16139	12940
555	16168	12911
556	16196	12881
557	16216	12845
558	16237	12809
559	16262	12777
560	16281	12740
561	16312	12713
562	16342	12684
563	16363	12649
564	16395	12623
565	16422	12592
566	16445	12559
567	16461	12519
568	16481	12484
569	16505	12451
570	16530	12419
571	16557	12389
572	16582	12356
573	16605	12323
574	16628	12290
575	16647	12254
576	16670	12220
577	16695	12189
578	16715	12154
579	16737	12120
580	16762	12088
581	16784	12054
582	16806	12021
583	16835	11992
584	16858	11959
585	16882	11927
586	16910	11897
587	16935	11866
588	16956	11832
589	16977	11798
590	16998	11764
591	17020	11730
592	17045	11699
593	17068	11666
594	17090	11632
595	17118	11604
596	17145	11573
597	17170	11542
598	17196	11512
599	17220	11480
600	17249	11451
601	17269	11417
602	17303	11392
603	17332	11363
604	17359	11334
605	17388	11305
606	17422	11280
607	17457	11255
608	17478	11222
609	17508	11193
610	17532	11162
611	17562	11134
612	17586	11102
613	17609	11070
614	17635	11040
615	17657	11007
616	17687	10979
617	17713	10948
618	17739	10918
619	17771	10891
620	17799	10862
621	17822	10831
622	17845	10798
623	17869	10767
624	17887	10732
625	17908	10699
626	17929	10666
627	17952	10634
628	17973	10601
629	17993	10567
630	18015	10535
631	18037	10503
632	18059	10470
633	18087	10441
634	18109	10409
635	18133	10378
636	18157	10347
637	18184	10317
638	18209	10287
639	18231	10255
640	18255	10224
641	18281	10194
642	18306	10164
643	18333	10134
644	18352	10101
645	18374	10068
646	18390	10033
647	18411	10001
648	18435	9970
649	18452	9935
650	18475	9904
651	18492	9870
652	18513	9837
653	18532	9804
654	18554	9772
655	18573	9739
656	18597	9709
657	18619	9677
658	18639	9645
659	18661	9613
660	18684	9582
661	18704	9549
662	18729	9520
663	18752	9489
664	18778	9459
665	18804	9430
666	18830	9401
667	18854	9370
668	18872	9337
669	18895	9306
670	18913	9273
671	18932	9240
672	18958	9211
673	18980	9180
674	18999	9148
675	19019	9116
676	19041	9084
677	19060	9052
678	19082	9021
679	19104	8990
680	19128	8960
681	19149	8928
682	19173	8899
683	19195	8868
684	19221	8839
685	19243	8808
686	19264	8776
687	19288	8747
688	19307	8714
689	19329	8684
690	19357	8656
691	19381	8626
692	19400	8594
693	19420	8562
694	19440	8531
695	19468	8503
696	19495	8475
697	19516	8443
698	19535	8412
699	19561	8383
700	19588	8355
701	19614	8326
702	19643	8298
703	19666	8268
704	19689	8238
705	19709	8207
706	19731	8177
707	19764	8151
708	19793	8123
709	19816	8094
710	19837	8063
711	19860	8033
712	19885	8004
713	19909	7974
714	19933	7945
715	19956	7915
716	19976	7884
717	19999	7854
718	20025	7826
719	20052	7798
720	20074	7768
721	20092	7736
722	20111	7705
723	20133	7675
724	20156	7645
725	20181	7616
726	20199	7585
727	20222	7555
728	20245	7526
729	20268	7496
730	20292	7467
731	20314	7437
732	20337	7407
733	20359	7378
734	20384	7349
735	20406	7319
736	20426	7289
737	20441	7257
738	20462	7227
739	20482	7196
740	20505	7167
741	20528	7137
742	20547	7107
743	20568	7077
744	20587	7046
745	20610	7017
746	20632	6988
747	20664	6961
748	20680	6930
749	20701	6900
750	20707	6865
751	20724	6834
752	20744	6804
753	20763	6774
754	20789	6746
755	20807	6715
756	20829	6686
757	20846	6655
758	20869	6626
759	20889	6596
760	20912	6567
761	20937	6539
762	20958	6510
763	20983	6481
764	21005	6452
765	21024	6422
766	21046	6393
767	21065	6363
768	21086	6334
769	21106	6304
770	21125	6274
771	21143	6244
772	21160	6214
773	21179	6184
774	21195	6153
775	21214	6123
776	21234	6094
777	21257	6065
778	21279	6036
779	21301	6008
780	21334	5982
781	21360	5954
782	21381	5925
783	21399	5895
784	21416	5865
785	21435	5836
786	21457	5807
787	21472	5776
788	21484	5745
789	21497	5714
790	21516	5685
791	21532	5654
792	21546	5624
793	21561	5594
794	21577	5563
795	21594	5534
796	21611	5504
797	21624	5473
798	21643	5444
799	21659	5414
800	21674	5384
801	21688	5354
802	21702	5324
803	21717	5294
804	21735	5265
805	21752	5235
806	21768	5206
807	21774	5174
808	21793	5145
809	21812	5116
810	21830	5087
811	21849	5058
812	21865	5029
813	21882	5000
814	21897	4970
815	21918	4942
816	21933	4912
817	21951	4884
818	21968	4855
819	21986	4826
820	22002	4797
821	22020	4768
822	22038	4739
823	22056	4711
824	22072	4682
825	22095	4654
826	22114	4626
827	22131	4597
828	22150	4569
829	22171	4541
830	22187	4512
831	22204	4483
832	22225	4455
833	22240	4426
834	22256	4398
835	22276	4370
836	22293	4341
837	22312	4313
838	22331	4285
839	22349	4257
840	22366	4228
841	22382	4200
842	22400	4171
843	22419	4143
844	22438	4115
845	22453	4087
846	22470	4059
847	22491	4031
848	22510	4003
849	22526	3975
850	22549	3948
851	22563	3919
852	22580	3891
853	22596	3863
854	22609	3834
855	22626	3806
856	22641	3778
857	22660	3750
858	22678	3722
859	22694	3694
860	22708	3666
861	22724	3638
862	22740	3610
863	22759	3582
864	22777	3554
865	22795	3527
866	22813	3499
867	22831	3472
868	22845	3443
869	22863	3416
870	22880	3388
871	22894	3360
872	22910	3332
873	22926	3305
874	22940	3277
875	22953	3249
876	22966	3221
877	22982	3193
878	22997	3165
879	23014	3138
880	23029	3110
881	23046	3083
882	23063	3056
883	23081	3028
884	23098	3001
885	23114	2974
886	23131	2946
887	23146	2919
888	23164	2892
889	23180	2864
890	23195	2837
891	23209	2810
892	23227	2783
893	23240	2755
894	23255	2728
895	23271	2701
896	23289	2674
897	23304	2647
898	23320	2619
899	23338	2593
900	23355	2566
901	23369	2539
902	23389	2512
903	23404	2485
904	23423	2458
905	23439	2431
906	23457	2405
907	23471	2378
908	23488	2351
909	23508	2324
910	23529	2298
911	23544	2271
912	23559	2244
913	23576	2218
914	23588	2191
915	23606	2164
916	23620	2137
917	23637	2111
918	23654	2084
919	23668	2058
920	23684	2031
921	23702	2005
922	23715	1978
923	23734	1952
924	23748	1925
925	23763	1899
926	23783	1872
927	23804	1846
928	23820	1820
929	23835	1794
930	23856	1768
931	23874	1741
932	23894	1715
933	23911	1689
934	23930	1663
935	23948	1637
936	23968	1611
937	23986	1585
938	24008	1559
939	24026	1533
940	24043	1507
941	24056	1481
942	24077	1455
943	24090	1429
944	24110	1403
945	24125	1377
946	24145	1351
947	24166	1325
948	24185	1299
949	24200	1273
950	24221	1247
951	24239	1222
952	24253	1196
953	24275	1170
954	24290	1144
955	24305	1118
956	24321	1092
957	24339	1067
958	24357	1041
959	24374	1015
960	24391	989
961	24403	963
962	24421	938
963	24437	912
964	24458	887
965	24477	861
966	24497	835
967	24515	810
968	24536	784
969	24554	759
970	24574	733
971	24591	708
972	24605	682
973	24621	657
974	24637	631
975	24653	606
976	24670	580
977	24685	555
978	24701	529
979	24720	504
980	24735	479
981	24746	453
982	24764	428
983	24778	402
984	24792	377
985	24808	352
986	24823	326
987	24841	301
988	24857	276
989	24871	251
990	24886	226
991	24899	200
992	24916	175
993	24926	150
994	24939	125
995	24952	100
996	24964	75
997	24977	50
998	24990	25
999	25005	0
